"player","position","team","Age","birth_year","touches","touches_def_pen_area","touches_def_3rd","touches_mid_3rd","touches_att_3rd","touches_att_pen_area","dribbles_completed","dribbles","miscontrols","dispossessed","passes_received","progressive_passes_received"
"Aaron Mooy","MF","Australia","32","1990","255","14","62","168","26","0","2","3","5","4","152","1"
"Aaron Ramsey","MF","Wales","31","1990","147","6","32","73","42","5","2","8","9","4","98","7"
"Abdelhamid Sabiri","MF","Morocco","26","1996","86","5","23","50","13","1","0","3","0","3","54","0"
"Abdelkarim Hassan","DF","Qatar","29","1993","193","15","83","95","17","2","1","5","2","0","138","1"
"Abderrazak Hamdallah","FW","Morocco","32","1990","28","2","2","15","12","5","2","3","4","3","18","3"
"Abdessamad Ezzalzouli","FW","Morocco","21","2001","40","2","17","9","16","5","1","2","9","1","16","3"
"Abdou Diallo","DF","Senegal","26","1996","210","19","98","98","15","1","0","0","2","2","138","0"
"Abdul Fatawu Issahaku","FW","Ghana","18","2004","2","0","0","2","0","0","0","1","0","0","1","0"
"Abdulaziz Hatem","MF","Qatar","32","1990","98","1","13","65","20","0","1","1","1","1","80","2"
"Abdulelah Al-Amri","DF","Saudi Arabia","25","1997","129","12","58","65","7","2","0","0","1","0","63","0"
"Abdulellah Al-Malki","MF","Saudi Arabia","28","1994","105","6","28","63","17","1","0","0","3","0","58","2"
"Abdullah Madu","DF","Saudi Arabia","29","1993","19","4","12","8","0","0","0","0","0","0","6","0"
"Abdulrahman Al-Aboud","MF","Saudi Arabia","27","1995","22","0","3","5","14","2","0","3","2","0","12","4"
"Abolfazl Jalali","DF","IR Iran","24","1998","34","1","5","18","12","0","1","5","0","1","18","1"
"Achraf Dari","DF","Morocco","23","1999","139","24","84","51","4","1","0","0","0","1","85","0"
"Achraf Hakimi","DF","Morocco","24","1998","478","25","185","190","111","14","2","15","17","8","280","18"
"Adrien Rabiot","MF","France","27","1995","350","16","62","203","88","19","2","5","5","7","243","17"
"Agust?n Canobbio","MF","Uruguay","24","1998","11","1","5","1","5","0","0","0","0","0","6","0"
"Ahmad Nourollahi","MF","IR Iran","29","1993","85","10","28","37","22","0","1","2","3","0","39","1"
"Ahmed Alaaeldin","FW","Qatar","29","1993","2","0","0","2","0","0","0","0","0","0","1","0"
"Aimen Dahmen","GK","Tunisia","25","1997","82","73","82","0","0","0","0","0","0","0","34","0"
"Ajdin Hrustic","MF","Australia","26","1996","32","3","6","15","12","1","1","4","2","1","21","4"
"Akram Afif","FW","Qatar","26","1996","181","1","11","122","50","2","3","7","5","5","141","10"
"Alan Franco","MF","Ecuador","24","1998","16","1","5","10","1","0","0","0","1","0","9","0"
"Alejandro Balde","DF","Spain","19","2003","135","0","17","86","33","3","0","2","2","3","109","4"
"Aleksandar Mitrovi?","FW","Serbia","28","1994","95","1","3","54","39","14","1","1","6","3","67","12"
"Alex Sandro","DF","Brazil","31","1991","193","7","45","111","38","0","1","2","1","0","121","4"
"Alex Telles","DF","Brazil","30","1992","46","0","12","21","14","1","0","0","1","0","32","0"
"Alexander Bah","DF","Denmark","25","1997","65","1","22","19","24","3","0","2","0","0","36","2"
"Alexander Djiku","DF","Ghana","28","1994","43","15","33","10","0","0","0","0","0","0","18","0"
"Alexis Mac Allister","MF","Argentina","23","1998","332","2","38","165","134","11","4","8","7","8","247","23"
"Alexis Vega","FW","Mexico","25","1997","85","1","8","42","35","8","1","4","6","8","50","9"
"Ali Abdi","DF","Tunisia","28","1993","152","16","66","61","26","3","1","2","5","4","67","11"
"Ali Al Hassan","MF","Saudi Arabia","25","1997","15","1","4","8","3","1","0","0","1","1","5","0"
"Ali Al-Bulaihi","DF","Saudi Arabia","33","1989","110","7","54","55","1","0","0","0","2","0","65","0"
"Ali Assadalla","MF","Qatar","29","1993","24","0","5","14","6","0","1","1","0","0","22","0"
"Ali Gholizadeh","MF","IR Iran","26","1996","86","5","22","35","33","3","4","8","2","2","51","7"
"Ali Karimi","MF","IR Iran","28","1994","55","2","10","33","12","1","0","0","1","0","36","3"
"Ali Ma?loul","DF","Tunisia","32","1990","70","3","12","28","30","0","0","0","0","1","34","3"
"Alidu Seidu","DF","Ghana","22","2000","98","3","37","42","22","1","4","6","4","0","49","0"
