"player","position","team","age","birth_year","minutes_90s","goals","shots","shots_on_target","average_shot_distance","shots_free_kicks","pens_made"
"Aaron Mooy","MF","Australia","32","1990.0","4.0","0","1","0","29.","0","0"
"Aaron Ramsey","MF","Wales","31","1990.0","3.0","0","1","0","18","0","0"
"Abdelhamid Sabiri","MF","Morocco","26","1996.0","2.0","0","3","0","34.","1","0"
"Abdelkarim Hassan","DF","Qatar","29","1993.0","3.0","0","6","0","23.","0","0"
"Abderrazak Hamdallah","FW","Morocco","32","1990.0","0.8","0","2","1","7.8","0","0"
"Abdessamad Ezzalzouli","FW","Morocco","21","2001.0","1.0","0","1","0","13.","0","0"
"Abdou Diallo","DF","Senegal","26","1996.0","3.7","0","1","0","15.","0","0"
"Abdul Fatawu Issahaku","FW","Ghana","18","2004.0","0.0","0","0","0",,"0","0"
"Abdulaziz Hatem","MF","Qatar","32","1990.0","2.2","0","1","1","27.","0","0"
"Abdulelah Al-Amri","DF","Saudi Arabia","25","1997.0","2.0","0","1","0","10.","0","0"
"Abdulellah Al-Malki","MF","Saudi Arabia","28","1994.0","1.9","0","2","0","21.","0","0"
"Abdullah Madu","DF","Saudi Arabia","29","1993.0","0.5","0","0","0",,"0","0"
"Abdulrahman Al-Aboud","MF","Saudi Arabia","27","1995.0","0.4","0","1","0","4.6","0","0"
"Abolfazl Jalali","DF","IR Iran","24","1998.0","0.2","0","0","0",,"0","0"
"Achraf Dari","DF","Morocco","23","1999.0","2.1","1","1","1","4.1","0","0"
"Achraf Hakimi","DF","Morocco","24","1998.0","7.0","0","4","1","26.","1","0"
"Adrien Rabiot","MF","France","27","1995.0","5.4","1","9","4","13.","0","0"
"Agust?n Canobbio","MF","Uruguay","24","1998.0","0.1","0","0","0",,"0","0"
"Ahmad Nourollahi","MF","IR Iran","29","1993.0","2.5","0","5","1","29.","0","0"
"Ahmed Alaaeldin","FW","Qatar","29","1993.0","0.1","0","0","0",,"0","0"
"Aimen Dahmen","GK","Tunisia","25","1997.0","3.0","0","0","0",,"0","0"
"Ajdin Hrustic","MF","Australia","26","1996.0","0.7","0","1","0","22.","0","0"
"Akram Afif","FW","Qatar","26","1996.0","3.0","0","2","0","29.","0","0"
"Alan Franco","MF","Ecuador","24","1998.0","0.5","0","0","0",,"0","0"
"Alejandro Balde","DF","Spain","19","2003.0","1.4","0","1","0","11.","0","0"
"Aleksandar Mitrovi?","FW","Serbia","28","1994.0","2.9","2","10","3","14.","0","0"
"Alex Sandro","DF","Brazil","31","1991.0","2.1","0","1","0","33.","0","0"
"Alex Telles","DF","Brazil","30","1992.0","0.7","0","0","0",,"0","0"
"Alexander Bah","DF","Denmark","25","1997.0","0.5","0","2","0","19.","0","0"
"Alexander Djiku","DF","Ghana","28","1994.0","1.1","0","0","0",,"0","0"
"Alexis Mac Allister","MF","Argentina","23","1998.0","6.1","1","7","4","19.","0","0"
"Alexis Vega","FW","Mexico","25","1997.0","2.1","0","9","2","21","1","0"
"Ali Abdi","DF","Tunisia","28","1993.0","2.1","0","0","0",,"0","0"
"Ali Al Hassan","MF","Saudi Arabia","25","1997.0","0.5","0","1","0","10.","0","0"
"Ali Al-Bulaihi","DF","Saudi Arabia","33","1989.0","2.4","0","0","0",,"0","0"
"Ali Assadalla","MF","Qatar","29","1993.0","0.3","0","0","0",,"0","0"
"Ali Gholizadeh","MF","IR Iran","26","1996.0","2.2","0","1","0","26.","0","0"
"Ali Karimi","MF","IR Iran","28","1994.0","1.1","0","0","0",,"0","0"
"Ali Ma?loul","DF","Tunisia","32","1990.0","1.0","0","0","0",,"0","0"
"Alidu Seidu","DF","Ghana","22","2000.0","1.7","0","1","0","31.","0","0"
"Alireza Beiranvand","GK","IR Iran","30","1992.0","1.2","0","0","0",,"0","0"
"Alireza Jahanbakhsh","MF","IR Iran","29","1993.0","0.7","0","3","0","22.","0","0"
"Alisson","GK","Brazil","30","1992.0","4.2","0","0","0",,"0","0"
"Alistair Johnston","DF","Canada","24","1998.0","3.0","0","2","1","8.5","0","0"
"Almoez Ali","FW","Qatar","26","1996.0","2.5","0","3","1","16.","0","0"
"Alphonso Davies","MF","Canada","22","2000.0","3.0","1","3","1","21","1","0"
"Amadou Onana","MF","Belgium","21","2001.0","1.2","0","2","0","8.3","0","0"
"Anass Zaroury","FW","Morocco","22","2000.0","0.3","0","0","0",,"0","0"
"Andre-Frank Zambo Anguissa","MF","Cameroon","27","1995.0","2.9","0","1","1","11.","0","0"
"Andreas Christensen","DF","Denmark","26","1996.0","3.0","1","2","1","5.9","0","0"
