"player","position","team","age","club","birth_year","games","games_starts","minutes","minutes_90s","goals","assists","goals_pens","pens_made","pens_att","cards_yellow","cards_red","goals_per90","assists_per90"
"Aaron Mooy","MF","Australia","32","Celtic","1990","4","4","360.0","4.0","0","0","0","0","0","1","0.00","0.00","0.00"
"Aaron Ramsey","MF","Wales","31","Nice","1990","3","3","266.0","3.0","0","0","0","0","0","1","0.00","0.00","0.00"
"Abdelhamid Sabiri","MF","Morocco","26","Sampdoria","1996","5","2","181.0","2.0","0","1","0","0","0","1","0.00","0.00","0.50"
"Abdelkarim Hassan","DF","Qatar","29","Al Sadd SC","1993","3","3","270.0","3.0","0","0","0","0","0","0","0.00","0.00","0.00"
"Abderrazak Hamdallah","FW","Morocco","32","Al-Ittihad","1990","4","0","68.0","0.8","0","0","0","0","0","0","0.00","0.00","0.00"
"Abdessamad Ezzalzouli","FW","Morocco","21","Osasuna","2001","3","0","93.0","1.0","0","0","0","0","0","0","0.00","0.00","0.00"
"Abdou Diallo","DF","Senegal","26","RB Leipzig","1996","4","4","331.0","3.7","0","0","0","0","0","0","0.00","0.00","0.00"
"Abdul Fatawu Issahaku","FW","Ghana","18","Sporting CP","2004","1","0","1.0","0.0","0","0","0","0","0","0","0.00","0.00","0.00"
"Abdulaziz Hatem","MF","Qatar","32","Al Rayyan SC","1990","3","2","196.0","2.2","0","0","0","0","0","0","0.00","0.00","0.00"
"Abdulelah Al-Amri","DF","Saudi Arabia","25","Al-Nassr","1997","3","2","182.0","2.0","0","0","0","0","0","2","0.00","0.00","0.00"
"Abdulellah Al-Malki","MF","Saudi Arabia","28","Al-Hilal","1994","2","2","174.0","1.9","0","0","0","0","0","2","0.00","0.00","0.00"
"Abdullah Madu","DF","Saudi Arabia","29","Al-Nassr","1993","1","0","45.0","0.5","0","0","0","0","0","1","0.00","0.00","0.00"
"Abdulrahman Al-Aboud","MF","Saudi Arabia","27","Al-Ittihad","1995","2","0","35.0","0.4","0","0","0","0","0","0","0.00","0.00","0.00"
"Abolfazl Jalali","DF","IR Iran","24","Esteghlal","1998","1","0","19.0","0.2","0","0","0","0","0","1","0.00","0.00","0.00"
"Achraf Dari","DF","Morocco","23","Brest","1999","3","2","187.0","2.1","1","0","1","0","0","1","0.00","0.48","0.00"
"Achraf Hakimi","DF","Morocco","24","Paris S-G","1998","7","7","631.0","7.0","0","1","0","0","0","0","0.00","0.00","0.14"
"Adrien Rabiot","MF","France","27","Juventus","1995","6","5","483.0","5.4","1","1","1","0","0","1","0.00","0.19","0.19"
"Agust?n Canobbio","MF","Uruguay","24","Atl Paranaense","1998","1","0","11.0","0.1","0","0","0","0","0","0","0.00","0.00","0.00"
"Ahmad Nourollahi","MF","IR Iran","29","Al-Ahli Dubai FC","1993","3","3","223.0","2.5","0","0","0","0","0","0","0.00","0.00","0.00"
"Ahmed Alaaeldin","FW","Qatar","29","Al-Gharafa Sports Club","1993","1","0","6.0","0.1","0","0","0","0","0","0","0.00","0.00","0.00"
"Aimen Dahmen","GK","Tunisia","25","CS Sfaxien","1997","3","3","270.0","3.0","0","0","0","0","0","0","0.00","0.00","0.00"
"Ajdin Hrustic","MF","Australia","26","Hellas Verona","1996","3","0","62.0","0.7","0","0","0","0","0","0","0.00","0.00","0.00"
"Akram Afif","FW","Qatar","26","Al Sadd SC","1996","3","3","270.0","3.0","0","0","0","0","0","1","0.00","0.00","0.00"
"Alan Franco","MF","Ecuador","24","Talleres","1998","2","1","46.0","0.5","0","0","0","0","0","0","0.00","0.00","0.00"
"Alejandro Balde","DF","Spain","19","Barcelona","2003","4","1","126.0","1.4","0","0","0","0","0","0","0.00","0.00","0.00"
"Aleksandar Mitrovi?","FW","Serbia","28","Fulham","1994","3","3","262.0","2.9","2","0","2","0","0","1","0.00","0.69","0.00"
"Alex Sandro","DF","Brazil","31","Juventus","1991","3","2","190.0","2.1","0","0","0","0","0","0","0.00","0.00","0.00"
"Alex Telles","DF","Brazil","30","Sevilla","1992","2","1","59.0","0.7","0","0","0","0","0","0","0.00","0.00","0.00"
"Alexander Bah","DF","Denmark","25","Benfica","1997","2","0","46.0","0.5","0","0","0","0","0","0","0.00","0.00","0.00"
"Alexander Djiku","DF","Ghana","28","Strasbourg","1994","2","1","97.0","1.1","0","0","0","0","0","0","0.00","0.00","0.00"
"Alexis Mac Allister","MF","Argentina","23","Brighton","1998","6","6","550.0","6.1","1","1","1","0","0","0","0.00","0.16","0.16"
"Alexis Vega","FW","Mexico","25","Guadalajara","1997","3","3","193.0","2.1","0","0","0","0","0","0","0.00","0.00","0.00"
"Ali Abdi","DF","Tunisia","28","Caen","1993","3","2","188.0","2.1","0","0","0","0","0","1","0.00","0.00","0.00"
"Ali Al Hassan","MF","Saudi Arabia","25","Al-Nassr","1997","1","1","45.0","0.5","0","0","0","0","0","1","0.00","0.00","0.00"
"Ali Al-Bulaihi","DF","Saudi Arabia","33","Al-Hilal","1989","3","3","216.0","2.4","0","0","0","0","0","1","0.00","0.00","0.00"
